# pasture_growth_curve.csv — REBUILT 2026-07-17 after removing a
# fabricated DairyNZ Ruakura/Hawera WTARS citation. See CHANGELOG.md
# and DATA_SOURCES.md (Pasture Growth section) for full provenance.
# Generated by build_pasture_growth_curve.py — do not hand-edit values;
# edit REGION_SOURCES in that script and re-run instead.

region_id,month,growth_rate_kgdm_ha_day,annual_magnitude_kgdm_ha_yr,magnitude_source,shape_confidence,cross_check_source
taranaki,7,23.4,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,8,51.3,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,9,69.8,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,10,68.3,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,11,59.2,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
taranaki,12,46.8,15252,"DTT Stratford (Dairy Trust Taranaki), 10-year monthly means (2015-2025), agyields.co.nz. Real, dated, Taranaki-specific. Replaces a fabricated citation — see CHANGELOG.md.","REAL — but ⚠ DTT is a dairy research site on improved flat/rolling land (implied annual total ~15,250 kg DM/ha/yr). That is well above extensive sheep/beef hill country magnitude and should be treated as an upper-bound reference, not a direct stand-in for hill country pasture.","Ballantrae (López et al. 2003, Whanganui-Manawatu sheep hill country, single year 1997-98) and Fielding Pasture Plan 2002-2003 (Manawatu) — both real, both lower-magnitude than DTT Stratford, consistent with the dairy-vs-hill-country gap flagged above. Neither adopted as primary — wrong sub-region, single season."
auckland,1,20.02,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,2,13.39,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,3,20.62,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,4,25.91,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,5,24.88,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,6,15.94,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,7,24.56,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,8,14.98,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,9,11.76,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,10,16.14,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,11,20.73,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
auckland,12,17.36,6900,"Auckland Council TR2017/020, Appendix 2 — average of the 'regolithic footslopes' semi-improved rows for 'banded or massive sandstone' (6300) and 'claystone, mudstone, shale' (7500). Verified against full extracted table 2026-07-17.","REAL, combined from 2 real sources, no months guessed — ⚠ Welsford is 2002-2003, kikuyu is 2016 (~14 years apart). Mainly a magnitude-comparability risk (fertiliser/cultivar drift over time), lower risk for the seasonal shape actually borrowed here — magnitude itself is NOT taken from either source, TR2017/020 remains the anchor. Welsford is also ~70km north of West Auckland (different local geology to TR2017/020's regolithic footslopes) and kikuyu is Northland, not Auckland — both real, both imperfect regional matches, combined because they cover each other's calendar gaps. Shape source's own implied annual total before rescaling: ~19073 kg DM/ha/yr.",
